"SPC","alpha","beta"
"014",0,1
"031",37.03345,1.05662
"051",0,1
"060",0.65452,1.14018
"061",0.65452,1.14018
"063",20.83161,1.08276
"070",5.49245,1.07083
"071",17.57392,1.05696
"073",17.94099,1.04486
"074",17.57392,1.05696
"075",4.96387,1.08165
"076",7.25165,1.02817
"077",17.09812,1.0393
"078",10.33529,1.01513
"080",-1.30488,1.07804
"081",0.92468,1.08501
"082",-1.30488,1.07804
"083",-2.94441,1.09098
"085",10.33529,1.01513
"086",-3.00329,1.08793
"087",31.43763,1.03055
"090",4.7645,1.09095
"091",5.23207,1.09943
"093",1.10679,1.10643
"094",2.68781,1.10028
"096",4.31043,1.09417
"099",4.31043,1.09417
"102",5.10117,1.07104
"103",4.31043,1.09417
"121",0.79051,1.07918
"131",7.41979,1.05017
"132",35.46711,1.03366
"160",1.20859,1.09824
"161",1.20859,1.09824
"162",2.21941,1.05606
"163",-5.72251,1.08848
"166",1.20859,1.09824
"172",18.14221,1.07754
"175",1.20859,1.09824
"177",18.14221,1.07754
"180",28.26795,1.05563
"181",28.26795,1.05563
"185",2.64647,1.06581
"186",28.26795,1.05563
"194",28.26795,1.05563
"201",28.26795,1.05563
"219",28.26795,1.05563
"233",-1.17848,1.02448
"234",47.1198,1.01805
"235",0,1
"236",0,1
"251",0,1
"271",0,1
"283",0,1
"291",3.62203,1.06461
"301",-0.08865,1.07014
"302",-8.20123,1.11768
"304",-8.20123,1.11768
"311",0.9686,1.02979
"313",-0.73534,1.05745
"314",1.59789,1.05427
"316",-1.43041,1.06224
"317",1.29582,1.03559
"318",0.51779,1.04302
"319",0.51779,1.04302
"331",2.78536,1.03501
"332",9.06906,1.03841
"333",9.06906,1.03841
"334",9.06906,1.03841
"336",0,1
"366",0,1
"371",-0.5633,1.00161
"380",0,1
"381",0,1
"384",0,1
