"SPC","WARN_HIGH","ERROR_HIGH"
"031",1.08,1.19
"041",0.36,0.40
"051",1.33,1.45
"061",1.67,1.87
"063",2.33,2.55
"071",1.73,1.90
"073",1.94,2.14
"075",1.83,2.01
"076",1.98,2.21
"077",1.68,1.82
"078",2.34,2.57
"080",1.61,1.71
"081",1.82,2.00
"082",1.78,1.97
"087",1.91,2.12
"090",1.55,1.69
"091",1.69,1.86
"093",1.89,2.13
"094",1.65,1.82
"096",1.39,1.54
"100",1.72,1.92
"102",1.49,1.61
"103",1.63,1.80
"121",1.00,1.11
"131",1.00,1.08
"132",1.34,1.48
"161",2.94,3.18
"162",1.81,1.97
"163",1.79,1.93
"168",2.18,2.34
"170",2.12,2.30
"171",1.94,2.08
"172",2.22,2.42
"182",2.27,2.61
"183",1.74,1.94
"185",1.66,1.83
"186",2.79,3.04
"191",1.67,1.78
"194",2.22,2.52
"196",1.53,1.74
"198",1.93,2.19
"199",2.33,2.69
"200",2.33,2.71
"201",2.03,2.30
"203",1.80,2.02
"206",2.11,2.43
"208",2.09,2.39
"209",2.14,2.44
"211",2.24,2.56
"212",2.34,2.71
"213",1.78,1.96
"233",2.00,2.18
"234",2.07,2.29
"235",1.58,1.73
"261",2.18,2.55
"271",1.06,1.17
"281",2.28,2.62
"282",1.86,2.16
"283",1.66,1.97
"291",1.99,2.25
"301",2.58,2.82
"302",2.39,2.62
"311",3.17,3.46
"313",3.81,4.27
"314",3.27,3.60
"315",3.89,4.34
"316",2.49,2.73
"317",2.54,2.85
"318",1.78,1.91
"319",2.32,2.53
"331",1.99,2.19
"334",1.68,1.85
"341",2.09,2.43
"342",1.47,1.66
"366",2.02,2.27
"371",1.69,1.84
"381",2.23,2.54
