spc,min_flen,max_flen,min_tlen,max_tlen,min_rwt,max_rwt
"010","109","267","109","239","20","31"
"013","","","175","199","9","16"
"014","136","893","136","1199","5","368"
"031","83","1630","124","1744","7","28750"
"041","50","1219","50","1600","1","48001"
"042","","","94","94","1","1"
"051","65","885","65","885","2","5600"
"061","23","1074","26","1070","0","485"
"063","27","725","30","709","0","2290"
"070","240","247","263","270","190","215"
"071","265","559","293","607","250","2272"
"073","28","790","29","719","1","8800"
"075","40","942","43","994","1","12598"
"076","28","869","31","817","1","8141"
"077","182","697","192","626","61","4707"
"078","88","860","92","882","8","10659"
"080","163","518","169","534","49","1915"
"081","74","6047","49","1020","9","12939"
"082","133","657","214","621","22","3538"
"084","275","789","307","861","240","6140"
"087","79","823","147","894","20","8000"
"090","75","376","10","427","5","1075"
"091","23","944","10","860","0","6000"
"093","58","760","9","690","1","3321"
"094","67","408","74","457","3","800"
"096","145","294","165","325","15","315"
"099","257","257","289","289","230","230"
"100","187","355","211","394","15","515"
"102","148","527","162","587","23","2500"
"103","66","498","72","457","4","1073"
"106","186","661","295","295","62","4439"
"107","406","409","","","852","870"
"111","","","120","120","",""
"121","11","966","5","990","0","1050"
"131","48","1150","52","1175","1","14500"
"132","51","1330","56","1410","1","23587"
"141","77","698","31","698","3","980"
"152","140","362","382","395","31","743"
"160","97","665","112","725","51","5000"
"161","50","545","55","615","2","4850"
"162","55","626","22","556","2","1928"
"163","19","893","20","804","0","7000"
"164","38","180","42","196","3","3"
"165","133","386","135","224","573","975"
"166","575","575","111","635","4300","4300"
"167","351","351","385","385","800","800"
"168","56","670","62","740","3","5700"
"169","","","229","234","",""
"170","226","544","140","624","202","2204"
"171","36","581","39","660","63","3493"
"172","209","658","234","728","159","5350"
"173","330","423","472","472","562","1200"
"176","29","148","25","162","46","46"
"177","32","684","32","790","1","6000"
"180","29","168","30","30","12","49"
"181","","","299","433","528","1147"
"182","32","67","34","71","1","3"
"183","31","639","33","705","1","6"
"185","28","440","11","465","1","1025"
"186","24","864","28","959","1","16250"
"189","42","66","41","70","1","4"
"191","59","181","111","228","12","117"
"192","115","115","71","222","",""
"194","29","184","32","182","1","92"
"195","","","41","49","",""
"196","21","262","17","279","0","12"
"198","17","720","18","198","1","85"
"199","13","74","14","83","1","4"
"200","25","69","28","80","1","6"
"201","4","184","4","192","0","340"
"202","37","70","16","85","2","2"
"203","31","318","35","335","1","420"
"204","16","75","17","83","1","2"
"205","","","45","52","",""
"206","3","160","5","164","1","32"
"208","13","184","14","208","1","11"
"209","19","94","20","100","1","9"
"210","30","85","30","90","1","1"
"211","22","117","12","121","1","22"
"212","17","218","19","230","1","138"
"213","50","134","56","143","2","38"
"214","76","76","80","80","",""
"216","30","107","32","115","7","11"
"217","","","20","20","",""
"224","53","109","28","120","14","18"
"231","","","144","218","94","94"
"232","32","217","30","236","1","242"
"233","7","488","14","427","1","6400"
"234","80","875","125","945","15","13000"
"235","26","377","26","430","4","602"
"236","48","194","48","226","1","10"
"237","","","31","80","5","5"
"251","671","821","504","947","202","2091"
"261","11","559","11","565","1","44"
"271","4","837","4","870","1","6029"
"280","46","66","","","",""
"281","22","73","21","78","1","3"
"282","19","79","23","80","1","3"
"283","21","620","21","620","1","250"
"291","26","217","27","182","1","81"
"301","14","457","15","451","0","2630"
"302","25","447","30","480","0","1389"
"303","210","210","","","144","144"
"304","71","71","74","74","4","4"
"310","16","68","13","70","1","1"
"311","10","861","11","612","1","3000"
"313","9","503","10","927","1","2290"
"314","20","243","24","258","1","470"
"315","38","198","40","209","1","220"
"316","4","598","4","640","1","12874"
"317","14","600","15","638","1","3000"
"318","21","332","22","276","31","270"
"319","29","688","12","722","1","980"
"320","23","47","21","48","2","2"
"330","","","","","648","648"
"331","0","7048","5","1105","0","1926"
"333","330","544","","","394","2440"
"334","9","1101","46","883","1","9874"
"336","32","191","28","201","1","110"
"337","39","58","35","59","1","3"
"338","28","59","6","61","1","3"
"339","","","58","58","2","2"
"341","15","82","17","82","1","3"
"342","31","113","32","115","1","12"
"344","47","57","48","58","",""
"346","","","32","35","",""
"347","566","566","","","2943","2943"
"348","","","26","26","",""
"350","105","148","119","156","21","47"
"361","35","91","36","98","1","3"
"366","5","251","5","251","1","170"
"367","44","44","44","44","1","1"
"371","21","650","21","821","1","8500"
"380","30","135","30","135","2","18"
"381","18","119","18","119","1","18"
"382","76","118","35","126","1","32"
"383","50","85","28","102","4","10"
"384","32","147","32","171","3","69"
"451","448","590","513","650","972","2607"
"502","366","393","389","421","300","420"
"601","","","301","301","444","444"
"603","45","68","48","73","1","3"
"692","295","295","","","438","438"
"999","12","320","4","356","1","376"
