"spc","warn_low","error_low"
"014",0.07,0.05
"031",0.29,0.20
"041",0.14,0.11
"051",0.63,0.50
"061",0.37,0.22
"063",0.66,0.52
"071",0.50,0.36
"073",0.60,0.45
"075",0.60,0.46
"076",0.53,0.32
"078",0.77,0.54
"080",0.86,0.76
"081",0.52,0.38
"082",0.71,0.54
"087",0.53,0.36
"090",0.51,0.41
"091",0.48,0.36
"093",0.29,0.11
"094",0.44,0.32
"096",0.35,0.24
"100",0.37,0.23
"102",0.60,0.50
"103",0.41,0.27
"121",0.24,0.15
"131",0.40,0.32
"132",0.38,0.26
"161",1.07,0.92
"162",0.66,0.52
"163",0.78,0.66
"168",0.80,0.66
"170",0.81,0.70
"171",0.81,0.72
"172",0.71,0.56
"182",0.19,0.07
"183",0.42,0.25
"185",0.50,0.36
"186",0.96,0.77
"191",0.68,0.59
"194",0.19,0.07
"196",0.21,0.07
"198",0.28,0.08
"199",0.13,0.07
"200",0.10,0.07
"201",0.30,0.10
"203",0.40,0.24
"206",0.12,0.07
"208",0.23,0.07
"209",0.29,0.07
"211",0.32,0.08
"212",0.10,0.07
"213",0.56,0.42
"233",0.77,0.58
"234",0.47,0.30
"235",0.60,0.45
"251",0.10,0.05
"261",0.10,0.07
"271",0.39,0.27
"281",0.16,0.07
"282",0.10,0.07
"283",0.10,0.07
"291",0.31,0.10
"301",0.93,0.72
"302",0.89,0.74
"311",1.27,1.00
"313",0.70,0.27
"314",0.68,0.28
"315",1.02,0.64
"316",0.87,0.66
"317",0.58,0.30
"318",0.84,0.71
"319",0.90,0.71
"331",0.67,0.49
"334",0.51,0.36
"341",0.10,0.07
"342",0.26,0.08
"366",0.73,0.52
"371",0.71,0.56
"381",0.33,0.07
"382",0.22,0.07
"384",0.68,0.53
